category,name,prompt,negative,my prompt,my prefix,my type,my lookup,my negative,my name,my number,my seed mod,calculated seed,skip
fantasy-realistic2-isometric,1000-sm-dwelling-fantasy-realistic2-isometric-1,"small cottage, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small cottage,small,cottage,dwelling,,sm-dwelling,1000,0,1,
fantasy-realistic2-isometric,1001-sm-dwelling-fantasy-realistic2-isometric-2,"small cottage, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small cottage,small,cottage,dwelling,,sm-dwelling,1001,1,2,
fantasy-realistic2-isometric,1002-sm-dwelling-fantasy-realistic2-isometric-3,"small cottage, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small cottage,small,cottage,dwelling,,sm-dwelling,1002,2,3,
fantasy-realistic2-isometric,1003-sm-dwelling-fantasy-realistic2-isometric-4,"small cottage, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small cottage,small,cottage,dwelling,,sm-dwelling,1003,3,4,
fantasy-realistic2-isometric,1004-sm-dwelling-fantasy-realistic2-isometric-5,"small cottage, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small cottage,small,cottage,dwelling,,sm-dwelling,1004,4,5,
fantasy-realistic2-isometric,1005-sm-dwelling-fantasy-realistic2-isometric-6,"small cottage, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small cottage,small,cottage,dwelling,,sm-dwelling,1005,5,6,
fantasy-realistic2-isometric,1006-sm-dwelling-fantasy-realistic2-isometric-7,"small cottage, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small cottage,small,cottage,dwelling,,sm-dwelling,1006,6,7,
fantasy-realistic2-isometric,1007-sm-dwelling-fantasy-realistic2-isometric-8,"small cottage, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small cottage,small,cottage,dwelling,,sm-dwelling,1007,7,8,
fantasy-realistic2-isometric,1008-sm-dwelling-fantasy-realistic2-isometric-9,"small cottage, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small cottage,small,cottage,dwelling,,sm-dwelling,1008,8,9,
fantasy-realistic2-isometric,1009-sm-dwelling-fantasy-realistic2-isometric-10,"small cottage, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small cottage,small,cottage,dwelling,,sm-dwelling,1009,9,10,
fantasy-realistic2-isometric,1010-sm-dwelling-fantasy-realistic2-isometric-1,"small cottage, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small cottage,small,cottage,dwelling,,sm-dwelling,1010,0,1,
fantasy-realistic2-isometric,1011-sm-dwelling-fantasy-realistic2-isometric-2,"small cottage, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small cottage,small,cottage,dwelling,,sm-dwelling,1011,1,2,
fantasy-realistic2-isometric,1012-sm-dwelling-fantasy-realistic2-isometric-3,"small cottage, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small cottage,small,cottage,dwelling,,sm-dwelling,1012,2,3,
fantasy-realistic2-isometric,1013-sm-dwelling-fantasy-realistic2-isometric-4,"small cottage, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small cottage,small,cottage,dwelling,,sm-dwelling,1013,3,4,
fantasy-realistic2-isometric,1014-sm-dwelling-fantasy-realistic2-isometric-5,"small cottage, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small cottage,small,cottage,dwelling,,sm-dwelling,1014,4,5,
fantasy-realistic2-isometric,1015-sm-dwelling-fantasy-realistic2-isometric-6,"small cottage, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small cottage,small,cottage,dwelling,,sm-dwelling,1015,5,6,
fantasy-realistic2-isometric,1016-sm-dwelling-fantasy-realistic2-isometric-7,"small cottage, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small cottage,small,cottage,dwelling,,sm-dwelling,1016,6,7,
fantasy-realistic2-isometric,1017-sm-dwelling-fantasy-realistic2-isometric-8,"small cottage, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small cottage,small,cottage,dwelling,,sm-dwelling,1017,7,8,
fantasy-realistic2-isometric,1018-sm-dwelling-fantasy-realistic2-isometric-9,"small cottage, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small cottage,small,cottage,dwelling,,sm-dwelling,1018,8,9,
fantasy-realistic2-isometric,1019-sm-dwelling-fantasy-realistic2-isometric-10,"small cottage, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small cottage,small,cottage,dwelling,,sm-dwelling,1019,9,10,
fantasy-realistic2-isometric,1020-sm-dwelling-fantasy-realistic2-isometric-1,"small cottage, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small cottage,small,cottage,dwelling,,sm-dwelling,1020,0,1,
fantasy-realistic2-isometric,1021-sm-dwelling-fantasy-realistic2-isometric-2,"small cottage, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small cottage,small,cottage,dwelling,,sm-dwelling,1021,1,2,
fantasy-realistic2-isometric,1022-sm-dwelling-fantasy-realistic2-isometric-3,"small cottage, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small cottage,small,cottage,dwelling,,sm-dwelling,1022,2,3,
fantasy-realistic2-isometric,1023-sm-dwelling-fantasy-realistic2-isometric-4,"small cottage, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small cottage,small,cottage,dwelling,,sm-dwelling,1023,3,4,
fantasy-realistic2-isometric,1024-sm-dwelling-fantasy-realistic2-isometric-5,"small cottage, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small cottage,small,cottage,dwelling,,sm-dwelling,1024,4,5,
fantasy-realistic2-isometric,1025-sm-dwelling-fantasy-realistic2-isometric-6,"small cottage, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small cottage,small,cottage,dwelling,,sm-dwelling,1025,5,6,
fantasy-realistic2-isometric,1026-sm-dwelling-fantasy-realistic2-isometric-7,"small cottage, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small cottage,small,cottage,dwelling,,sm-dwelling,1026,6,7,
fantasy-realistic2-isometric,1027-sm-dwelling-fantasy-realistic2-isometric-8,"small cottage, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small cottage,small,cottage,dwelling,,sm-dwelling,1027,7,8,
fantasy-realistic2-isometric,1028-sm-dwelling-fantasy-realistic2-isometric-9,"small cottage, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small cottage,small,cottage,dwelling,,sm-dwelling,1028,8,9,
fantasy-realistic2-isometric,1029-sm-dwelling-fantasy-realistic2-isometric-10,"small cottage, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small cottage,small,cottage,dwelling,,sm-dwelling,1029,9,10,
fantasy-realistic2-isometric,1030-sm-social-fantasy-realistic2-isometric-1,"small tavern, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small tavern,small,tavern,social,,sm-social,1030,0,1,
fantasy-realistic2-isometric,1031-sm-social-fantasy-realistic2-isometric-2,"small tavern, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small tavern,small,tavern,social,,sm-social,1031,1,2,
fantasy-realistic2-isometric,1032-sm-social-fantasy-realistic2-isometric-3,"small tavern, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small tavern,small,tavern,social,,sm-social,1032,2,3,
fantasy-realistic2-isometric,1033-sm-social-fantasy-realistic2-isometric-4,"small tavern, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small tavern,small,tavern,social,,sm-social,1033,3,4,
fantasy-realistic2-isometric,1034-sm-social-fantasy-realistic2-isometric-5,"small tavern, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small tavern,small,tavern,social,,sm-social,1034,4,5,
fantasy-realistic2-isometric,1035-sm-social-fantasy-realistic2-isometric-6,"small tavern, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small tavern,small,tavern,social,,sm-social,1035,5,6,
fantasy-realistic2-isometric,1036-sm-social-fantasy-realistic2-isometric-7,"small tavern, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small tavern,small,tavern,social,,sm-social,1036,6,7,
fantasy-realistic2-isometric,1037-sm-social-fantasy-realistic2-isometric-8,"small tavern, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small tavern,small,tavern,social,,sm-social,1037,7,8,
fantasy-realistic2-isometric,1038-sm-social-fantasy-realistic2-isometric-9,"small tavern, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small tavern,small,tavern,social,,sm-social,1038,8,9,
fantasy-realistic2-isometric,1039-sm-social-fantasy-realistic2-isometric-10,"small tavern, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small tavern,small,tavern,social,,sm-social,1039,9,10,
fantasy-realistic2-isometric,1040-sm-store-fantasy-realistic2-isometric-1,"small general store, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small general store,small,general store,store,,sm-store,1040,0,1,
fantasy-realistic2-isometric,1041-sm-store-fantasy-realistic2-isometric-2,"small general store, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small general store,small,general store,store,,sm-store,1041,1,2,
fantasy-realistic2-isometric,1042-sm-store-fantasy-realistic2-isometric-3,"small general store, exterior isometric, ultra realistic, fantasy, white background, day time, highly detailed, beautiful detailed intricate stunning amazing epic, video game","split screen, interior, cartoon, collection, trees, user interface",small general store,small,general store,store,,sm-store,1042,2,3,
